Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",15.6750,19.6500,90.0000,top
"C2","100nF","C_0805_2012Metric",21.0000,27.0500,0.0000,top
"C3","100nF","C_0805_2012Metric",26.5800,27.2150,0.0000,top
"C4","1uF","C_0805_2012Metric",18.4800,18.0600,0.0000,top
"C5","1uF","C_0805_2012Metric",18.4800,20.3600,0.0000,top
"C6","10uF","C_0805_2012Metric",30.1000,27.2000,180.0000,top
"C7","10uF","C_0805_2012Metric",15.9750,14.4750,90.0000,top
"C8","100nF","C_0805_2012Metric",18.1250,14.4750,90.0000,top
"D1","BZV55C-5,6V","D_SMA",8.3250,26.0000,90.0000,top
"D2","LED","LED_1206_2",10.1600,34.5000,180.0000,top
"IC1","DRV10987DPWPR","TSSOP-24_4.4x7.8mm_P0.65mm_PowerPAD",24.8925,21.0600,0.0000,top
"L1","47uH DE0703-47","L_Ferrocore_DLG-0703",14.6750,26.0500,90.0000,top
"R1","4k7","R_0805_2012Metric",23.9125,13.4500,180.0000,top
"R2","4k7","R_0805_2012Metric",27.5375,13.4500,0.0000,top
"R3","4k7","R_0805_2012Metric",38.1750,14.2875,-90.0000,top
"R4","DNF","R_0805_2012Metric",43.5250,14.2875,-90.0000,top
"R5","DNF","R_0805_2012Metric",40.9500,14.2875,-90.0000,top
"R6","R","R_0805_2012Metric",10.5875,31.9000,180.0000,top
"R7","100R","R_0805_2012Metric",21.6125,15.4000,180.0000,top
